source_id,filename,title,category,role,keywords,status,chars,lines,headings,sha256_16
S01,当前正式基线文档清单_v1_2_修正版.md,当前正式基线文档清单 v1.2（修正版，完整最终版）,版本/来源治理,当前唯一正式基线索引；定义 A/B 类与 Codex 直接使用规则,"基线清单, A类, B类, Codex, 文件优先级",A类正式基线,2526,130,18,4bf3c6ecc221565e
S02,开发前阻断问题一次性收口裁决_v1.md,开发前阻断问题一次性收口裁决 v1（完整最终版）,版本/来源治理,开发前阻断项一次性裁决；非阻断项降级,"开发收口, 阻断问题, identity_resolution_status, family_name_canonical",A类正式基线,3702,245,44,39b8429d83bf32cd
S03,AI_DIAGNOSIS_MASTER_SPEC_v2.md,AI 诊断系统总规范入口文档（重构规范 + 最小交互协议）,总入口/Codex,系统重构总规范；前端/后端唯一入口、评分公式、目录建议,"DiagnosePopup, diagnose-http, 新体系真源, 评分公式, adapter",非A类/补充或过程文件,40705,2715,232,7d701cc0d4cc05a7
S04,AI_DIAGNOSIS_CODEX_MINIMAL_EXEC_SUMMARY_v2.md,AI Diagnosis Codex 极简执行摘要,总入口/Codex,给 Codex 的极简执行摘要；锁定唯一入口、真源、symptom_class 与迁移顺序,"Codex, 唯一入口, symptom_class, data-diff, backfill",非A类/补充或过程文件,8266,468,62,48661bf05ef0c23c
S05,diagnosis_hard_constraints_v2_4_20260404_121000.md,诊断系统硬约束清单 v2.4（完整最终版，基于可用前版只增不减）,宪法/硬约束,诊断系统最高硬约束；证据-假设-结论主轴，P0/P1/P2 约束,"P0, evidence, hypothesis, outcome, 三态, 概率禁用",A类正式基线,12923,1001,118,16ad2fe0055d6e98
S06,当前全部文档最高规格联动一致性总审查报告.md,当前全部文档最高规格联动一致性总审查报告（完整最终版）,审查/一致性,全体系联动审查；识别 P0 问题与文档一致性缺口,"一致性审查, P0, 主链闭环, Taxonomy/Diagnosis 分家",A类正式基线,6082,480,60,f90e8a3db70b25a6
S07,新增属级养护基线联动后文档体系最高规格一致性总审查报告_重新生成版.md,第一版 SQL 表结构草案 v1（完整最终版）,异常/SQL源,文件名像总审查报告，但正文标题为“第一版 SQL 表结构草案 v1”；需作为命名异常处理,"文件名标题不一致, SQL 草案, 建表分层",A类正式基线,19458,493,34,4596cbd46af10328
S08,problem_taxonomy_v1_4_full_final.md,诊断目标分层 v1.4（完整最终版，基于可用前版只增不减）,诊断主链,诊断问题层；只定义问题性诊断对象，不覆盖最终输出全集,"problem taxonomy, 问题性结论, 问题簇, 诊断问题",A类正式基线,9474,785,85,cebcb16e41883a5f
S09,diagnosis_outcome_layer_v1_2_full_final.md,诊断结论层 v1.2（完整最终版，基于 v1.1 只增不减）,诊断主链,诊断结论层；定义问题性/非问题性/不确定三类最终结果空间,"outcome_layer, problematic, non_problematic, uncertain",A类正式基线,12168,1125,111,e6056fdbc6c9d610
S10,核心数据结构_v1_6_完整最终版_标题版本已统一.md,核心数据结构 v1.6（完整最终版）,诊断主链,七大静态核心对象：问题、证据、派生、规则、提问、行动、结论,"核心数据结构, evidence_catalog, action_policy, outcome_layer",A类正式基线,9177,753,83,3d7c7035107ad42c
