class_key,class_name_cn,group_key,group_role,base_priority,allow_when_ai_locked,max_questions_per_round,activation_condition,class_gate_type,class_switch_allowed,unknown_switch_policy,ai_locked_confirm_penalty,pseudo_symptom_allowed,data_status,data_source,audit_note,followup_mode_v1,class_level_allows_runtime_v1,group_runtime_eligibility_rule,asset_validation_required,asset_validation_minimum,semantic_admission_required,partial_runtime_penalty_rule,effective_runtime_v1,runtime_block_reason,asset_status,codex_action_required
yellowing_mode,黄叶分流模式,leaf_yellowing_group,confirm,92,False,1,AI 首个高置信黄叶/黄化类 symptom,soft,False,deprioritize_after_1_unknown,0.35,True,partial,https://www.rhs.org.uk/problems/chlorosis | https://extension.umd.edu/resource/yellowing-leaves-indoor-plants,按最终版规范收紧后，推荐 role=confirm，priority=92，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
yellowing_mode,黄叶分流模式,iron_group,differentiate,96,True,2,出现新叶黄、脉间黄化、苍白新叶时优先,soft,True,switch_group_after_2_unknown,0.05,True,audited,https://www.rhs.org.uk/problems/chlorosis | https://extension.umd.edu/resource/yellowing-leaves-indoor-plants,按最终版规范收紧后，推荐 role=differentiate，priority=96，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
yellowing_mode,黄叶分流模式,nitrogen_group,differentiate,94,True,2,出现老叶先黄、整片发黄、慢生长时优先,soft,True,switch_group_after_2_unknown,0.05,True,audited,https://www.rhs.org.uk/problems/chlorosis | https://extension.umd.edu/resource/yellowing-leaves-indoor-plants,按最终版规范收紧后，推荐 role=differentiate，priority=94，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
yellowing_mode,黄叶分流模式,yellowing_watering_background_group,context,88,True,1,黄叶类进入二轮时默认可用,soft,True,deprioritize_after_2_unknown,0.1,True,audited,https://www.rhs.org.uk/problems/chlorosis | https://extension.umd.edu/resource/yellowing-leaves-indoor-plants,按最终版规范收紧后，推荐 role=context，priority=88，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
yellowing_mode,黄叶分流模式,yellowing_light_background_group,context,84,True,1,弱光/摆位变化可疑时,soft,True,deprioritize_after_2_unknown,0.1,True,audited,https://www.rhs.org.uk/problems/chlorosis | https://extension.umd.edu/resource/yellowing-leaves-indoor-plants,按最终版规范收紧后，推荐 role=context，priority=84，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
yellowing_mode,黄叶分流模式,yellowing_fertilization_background_group,context,82,True,1,近期施肥/长期不施肥可疑时,soft,True,deprioritize_after_2_unknown,0.1,True,audited,https://www.rhs.org.uk/problems/chlorosis | https://extension.umd.edu/resource/yellowing-leaves-indoor-plants,按最终版规范收紧后，推荐 role=context，priority=82，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
yellowing_mode,黄叶分流模式,yellowing_patchy_confirm_group,differentiate,80,True,1,黄叶表现并不均匀、斑驳时,soft,True,switch_group_after_2_unknown,0.05,True,partial,https://www.rhs.org.uk/problems/chlorosis | https://extension.umd.edu/resource/yellowing-leaves-indoor-plants,按最终版规范收紧后，推荐 role=differentiate，priority=80，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
fungal_leaf_spot_mode,真菌性叶斑模式,leaf_spot_group,confirm,90,False,2,AI 首个高置信斑点类 symptom，且更像真菌叶斑,soft,False,deprioritize_after_1_unknown,0.35,False,partial,https://extension.umd.edu/resource/fungal-leaf-spots-indoor-plants | https://hgic.clemson.edu/factsheet/houseplant-diseases-disorders/,按最终版规范收紧后，推荐 role=confirm，priority=90，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
fungal_leaf_spot_mode,真菌性叶斑模式,fungal_spot_group,differentiate,98,True,2,斑点伴黄晕/扩展/不规则褐斑时,soft,True,switch_group_after_2_unknown,0.05,False,audited,https://extension.umd.edu/resource/fungal-leaf-spots-indoor-plants | https://hgic.clemson.edu/factsheet/houseplant-diseases-disorders/,按最终版规范收紧后，推荐 role=differentiate，priority=98，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,不适用,True,,,
fungal_leaf_spot_mode,真菌性叶斑模式,anthracnose_group,differentiate,88,True,2,斑块较大、扩展明显、接近炭疽表现时,soft,True,switch_group_after_2_unknown,0.05,False,partial,https://extension.umd.edu/resource/fungal-leaf-spots-indoor-plants | https://hgic.clemson.edu/factsheet/houseplant-diseases-disorders/,按最终版规范收紧后，推荐 role=differentiate，priority=88，gate=soft。,full,True,若资产存在且语义通过，则可进入 v1 运行时。,True,group 存在；question 数量足够；key 可解析；文案可上线；必须包含 yes/no/unknown。,role_semantic_validated=true 且 final_review_decision != update_required,base_priority -= 12；若存在 audited 同类 group，partial 排后；若 role=confirm 再叠加 confirm penalty。,True,,,
